Date,Open,High,Low,Close,Adj Close,Volume,feature1,feature2,feature3,feature4,feature5
4/24/2023,3.6715,3.672,3.671,3.6715,3.6715,0,0.0,0.0,0.0,0.0,0.0
4/25/2023,3.6713,3.672,3.67057,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
4/26/2023,3.6714,3.672,3.6711,3.6714,3.6714,0,0.0,0.0,0.0,0.0,0.0
4/27/2023,3.6713,3.672,3.6709,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
4/28/2023,3.6714,3.672,3.6709,3.6714,3.6714,0,0.0,0.0,0.0,0.0,0.0
5/1/2023,3.67134,3.67139,3.6713,3.67134,3.67134,0,0.0,0.0,0.0,0.0,0.0
5/2/2023,3.67139,3.6721,3.6712,3.67139,3.67139,0,0.0,0.0,0.0,0.0,0.0
5/3/2023,3.6714,3.672,3.671,3.6714,3.6714,0,0.0,0.0,0.0,0.0,0.0
5/4/2023,3.6713,3.6721,3.6712,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
5/5/2023,3.6714,3.672,3.6712,3.6714,3.6714,0,0.0,0.0,0.0,0.0,0.0
5/8/2023,3.67153,3.6721,3.671,3.67153,3.67153,0,0.0,0.0,0.0,0.0,0.0
5/9/2023,3.6713,3.6721,3.671,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
5/10/2023,3.6711,3.67157,3.6704,3.6711,3.6711,0,0.0,0.0,0.0,0.0,0.0
5/11/2023,3.6712,3.672,3.671,3.6712,3.6712,0,0.0,0.0,0.0,0.0,0.0
5/12/2023,3.6713,3.672,3.6711,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
5/15/2023,3.6715,3.672,3.671,3.6715,3.6715,0,0.0,0.0,0.0,0.0,0.0
5/16/2023,3.6713,3.672,3.6706,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
5/17/2023,3.6711,3.672,3.6709,3.6711,3.6711,0,0.0,0.0,0.0,0.0,0.0
5/18/2023,3.6711,3.6719,3.6704,3.6711,3.6711,0,0.0,0.0,0.0,0.0,0.0
5/19/2023,3.6708,3.672,3.6706,3.6708,3.6708,0,0.0,0.0,0.0,0.0,0.0
5/22/2023,3.67157,3.672,3.6711,3.67157,3.67157,0,0.0,0.0,0.0,0.0,0.0
5/23/2023,3.6712,3.672,3.6711,3.6712,3.6712,0,0.0,0.0,0.0,0.0,0.0
5/24/2023,3.6713,3.67174,3.6711,3.6713,3.6713,0,0.0,0.0,0.0,0.0,0.0
5/25/2023,3.6712,3.672,3.6712,3.6712,3.6712,0,0.0,0.0,0.0,0.0,0.0
5/26/2023,3.6712,3.672,3.6709,3.6712,3.6712,0,0.0,0.0,0.0,0.0,0.0
5/29/2023,3.6712,3.67166,3.6712,3.6712,3.6712,0,0.0,0.0,0.0,0.0,0.0
